relation	same_speaker	id_DU1	end_qmark_DU1	start_word_DU1	end_bang_DU1	end_word_DU1	id_DU2	end_qmark_DU2	start_word_DU2	end_bang_DU2	end_word_DU2
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365897136	True	anyone	False	?	s1-league1-game1_03_discourse_stac_1365917136	False	i	False	,
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365907136	False	for	False	sheep	s1-league1-game1_03_discourse_stac_1365917136	False	i	False	,
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365897136	True	anyone	False	?	s1-league1-game1_03_discourse_stac_1365917137	False	sorry	False	,
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365907136	False	for	False	sheep	s1-league1-game1_03_discourse_stac_1365917137	False	sorry	False	,
Comment	True	s1-league1-game1_03_discourse_stac_1365917136	False	i	False	,	s1-league1-game1_03_discourse_stac_1365917137	False	sorry	False	,
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365907136	False	for	False	sheep	s1-league1-game1_03_discourse_stac_1365917138	False	I	False	too
Elaboration	True	s1-league1-game1_03_discourse_stac_1365917136	False	i	False	,	s1-league1-game1_03_discourse_stac_1365917138	False	I	False	too
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365917137	False	sorry	False	,	s1-league1-game1_03_discourse_stac_1365917138	False	I	False	too
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365917136	False	i	False	,	s1-league1-game1_03_discourse_stac_1365927136	True	toma	False	??
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365917137	False	sorry	False	,	s1-league1-game1_03_discourse_stac_1365927136	True	toma	False	??
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365917138	False	I	False	too	s1-league1-game1_03_discourse_stac_1365927136	True	toma	False	??
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365917137	False	sorry	False	,	s1-league1-game1_03_discourse_stac_1365937136	False	i	False	sheepless
Continuation	True	s1-league1-game1_03_discourse_stac_1365917138	False	I	False	too	s1-league1-game1_03_discourse_stac_1365937136	False	i	False	sheepless
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365927136	True	toma	False	??	s1-league1-game1_03_discourse_stac_1365937136	False	i	False	sheepless
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365917138	False	I	False	too	s1-league1-game1_03_discourse_stac_1365947136	False	no	False	clay
Question-answer_pair	False	s1-league1-game1_03_discourse_stac_1365927136	True	toma	False	??	s1-league1-game1_03_discourse_stac_1365947136	False	no	False	clay
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365937136	False	i	False	sheepless	s1-league1-game1_03_discourse_stac_1365947136	False	no	False	clay
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365927136	True	toma	False	??	s1-league1-game1_03_discourse_stac_1365947137	False	:-lrb-_NN	False	:-lrb-_NN
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365937136	False	i	False	sheepless	s1-league1-game1_03_discourse_stac_1365947137	False	:-lrb-_NN	False	:-lrb-_NN
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365947136	False	no	False	clay	s1-league1-game1_03_discourse_stac_1365947137	False	:-lrb-_NN	False	:-lrb-_NN
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365937136	False	i	False	sheepless	s1-league1-game1_03_discourse_stac_1365947138	False	robber	True	!
Explanation	True	s1-league1-game1_03_discourse_stac_1365947136	False	no	False	clay	s1-league1-game1_03_discourse_stac_1365947138	False	robber	True	!
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365947137	False	:-lrb-_NN	False	:-lrb-_NN	s1-league1-game1_03_discourse_stac_1365947138	False	robber	True	!
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365947136	False	no	False	clay	s1-league1-game1_03_discourse_stac_1365957136	False	so	False	,
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365947137	False	:-lrb-_NN	False	:-lrb-_NN	s1-league1-game1_03_discourse_stac_1365957136	False	so	False	,
Acknowledgement	False	s1-league1-game1_03_discourse_stac_1365947138	False	robber	True	!	s1-league1-game1_03_discourse_stac_1365957136	False	so	False	,
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365947137	False	:-lrb-_NN	False	:-lrb-_NN	s1-league1-game1_03_discourse_stac_1365957137	False	my	False	...
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365947138	False	robber	True	!	s1-league1-game1_03_discourse_stac_1365957137	False	my	False	...
Result	True	s1-league1-game1_03_discourse_stac_1365957136	False	so	False	,	s1-league1-game1_03_discourse_stac_1365957137	False	my	False	...
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365947138	False	robber	True	!	s1-league1-game1_03_discourse_stac_1365997136	False	8	False	ouch
Continuation	True	s1-league1-game1_03_discourse_stac_1365957136	False	so	False	,	s1-league1-game1_03_discourse_stac_1365997136	False	8	False	ouch
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365957137	False	my	False	...	s1-league1-game1_03_discourse_stac_1365997136	False	8	False	ouch
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365957136	False	so	False	,	s1-league1-game1_03_discourse_stac_1366007136	False	i	False	...
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365957137	False	my	False	...	s1-league1-game1_03_discourse_stac_1366007136	False	i	False	...
UNRELATED	True	s1-league1-game1_03_discourse_stac_1365997136	False	8	False	ouch	s1-league1-game1_03_discourse_stac_1366007136	False	i	False	...
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365957137	False	my	False	...	s1-league1-game1_03_discourse_stac_1366017136	False	i	False	know
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365997136	False	8	False	ouch	s1-league1-game1_03_discourse_stac_1366017136	False	i	False	know
Acknowledgement	False	s1-league1-game1_03_discourse_stac_1366007136	False	i	False	...	s1-league1-game1_03_discourse_stac_1366017136	False	i	False	know
UNRELATED	False	s1-league1-game1_03_discourse_stac_1365997136	False	8	False	ouch	s1-league1-game1_03_discourse_stac_1366057136	False	i	True	!
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366007136	False	i	False	...	s1-league1-game1_03_discourse_stac_1366057136	False	i	True	!
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366017136	False	i	False	know	s1-league1-game1_03_discourse_stac_1366057136	False	i	True	!
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366007136	False	i	False	...	s1-league1-game1_03_discourse_stac_1366067136	False	i	False	:-lrb-_NN
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366017136	False	i	False	know	s1-league1-game1_03_discourse_stac_1366067136	False	i	False	:-lrb-_NN
Contrast	False	s1-league1-game1_03_discourse_stac_1366057136	False	i	True	!	s1-league1-game1_03_discourse_stac_1366067136	False	i	False	:-lrb-_NN
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366017136	False	i	False	know	s1-league1-game1_03_discourse_stac_1366077136	False	honest	False	honest
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366057136	False	i	True	!	s1-league1-game1_03_discourse_stac_1366077136	False	honest	False	honest
Comment	True	s1-league1-game1_03_discourse_stac_1366067136	False	i	False	:-lrb-_NN	s1-league1-game1_03_discourse_stac_1366077136	False	honest	False	honest
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366057136	False	i	True	!	s1-league1-game1_03_discourse_stac_1366087136	False	here	False	here
Contrast	False	s1-league1-game1_03_discourse_stac_1366067136	False	i	False	:-lrb-_NN	s1-league1-game1_03_discourse_stac_1366087136	False	here	False	here
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366077136	False	honest	False	honest	s1-league1-game1_03_discourse_stac_1366087136	False	here	False	here
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366067136	False	i	False	:-lrb-_NN	s1-league1-game1_03_discourse_stac_1366147136	False	william	False	:-rrb-_NN
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366077136	False	honest	False	honest	s1-league1-game1_03_discourse_stac_1366147136	False	william	False	:-rrb-_NN
Q-Elab	False	s1-league1-game1_03_discourse_stac_1366087136	False	here	False	here	s1-league1-game1_03_discourse_stac_1366147136	False	william	False	:-rrb-_NN
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366077136	False	honest	False	honest	s1-league1-game1_03_discourse_stac_1366157136	False	none	False	trade
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366087136	False	here	False	here	s1-league1-game1_03_discourse_stac_1366157136	False	none	False	trade
Question-answer_pair	False	s1-league1-game1_03_discourse_stac_1366147136	False	william	False	:-rrb-_NN	s1-league1-game1_03_discourse_stac_1366157136	False	none	False	trade
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366087136	False	here	False	here	s1-league1-game1_03_discourse_stac_1366167136	False	c'est	False	vrai
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366147136	False	william	False	:-rrb-_NN	s1-league1-game1_03_discourse_stac_1366167136	False	c'est	False	vrai
Correction	False	s1-league1-game1_03_discourse_stac_1366157136	False	none	False	trade	s1-league1-game1_03_discourse_stac_1366167136	False	c'est	False	vrai
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366147136	False	william	False	:-rrb-_NN	s1-league1-game1_03_discourse_stac_1366177136	False	to	False	;-rrb-_NN
Elaboration	True	s1-league1-game1_03_discourse_stac_1366157136	False	none	False	trade	s1-league1-game1_03_discourse_stac_1366177136	False	to	False	;-rrb-_NN
Correction	False	s1-league1-game1_03_discourse_stac_1366167136	False	c'est	False	vrai	s1-league1-game1_03_discourse_stac_1366177136	False	to	False	;-rrb-_NN
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366157136	False	none	False	trade	s1-league1-game1_03_discourse_stac_1366187136	False	lol	False	lol
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366167136	False	c'est	False	vrai	s1-league1-game1_03_discourse_stac_1366187136	False	lol	False	lol
Comment	False	s1-league1-game1_03_discourse_stac_1366177136	False	to	False	;-rrb-_NN	s1-league1-game1_03_discourse_stac_1366187136	False	lol	False	lol
Elaboration	True	s1-league1-game1_03_discourse_stac_1366227136	False	ouch	False	:-lrb-_NN	s1-league1-game1_03_discourse_stac_1366237136	False	rob	False	rob
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366227136	False	ouch	False	:-lrb-_NN	s1-league1-game1_03_discourse_stac_1366247136	False	argh	True	!
Comment	False	s1-league1-game1_03_discourse_stac_1366237136	False	rob	False	rob	s1-league1-game1_03_discourse_stac_1366247136	False	argh	True	!
Clarification_question	False	s1-league1-game1_03_discourse_stac_1366227136	False	ouch	False	:-lrb-_NN	s1-league1-game1_03_discourse_stac_1366267136	False	what	False	:d
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366237136	False	rob	False	rob	s1-league1-game1_03_discourse_stac_1366267136	False	what	False	:d
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366247136	False	argh	True	!	s1-league1-game1_03_discourse_stac_1366267136	False	what	False	:d
Explanation	False	s1-league1-game1_03_discourse_stac_1366297136	False	william	False	diplomat	s1-league1-game1_03_discourse_stac_1366307136	False	^	False	run
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366297136	False	william	False	diplomat	s1-league1-game1_03_discourse_stac_1366317136	False	clay	False	:-rrb-_NN
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366307136	False	^	False	run	s1-league1-game1_03_discourse_stac_1366317136	False	clay	False	:-rrb-_NN
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366297136	False	william	False	diplomat	s1-league1-game1_03_discourse_stac_1366327136	False	yup	False	yup
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366307136	False	^	False	run	s1-league1-game1_03_discourse_stac_1366327136	False	yup	False	yup
Question-answer_pair	False	s1-league1-game1_03_discourse_stac_1366317136	False	clay	False	:-rrb-_NN	s1-league1-game1_03_discourse_stac_1366327136	False	yup	False	yup
Comment	False	s1-league1-game1_03_discourse_stac_1366307136	False	^	False	run	s1-league1-game1_03_discourse_stac_1366337136	False	lol	False	lol
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366317136	False	clay	False	:-rrb-_NN	s1-league1-game1_03_discourse_stac_1366337136	False	lol	False	lol
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366327136	False	yup	False	yup	s1-league1-game1_03_discourse_stac_1366337136	False	lol	False	lol
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366317136	False	clay	False	:-rrb-_NN	s1-league1-game1_03_discourse_stac_1366347136	False	i	False	wood
Continuation	True	s1-league1-game1_03_discourse_stac_1366327136	False	yup	False	yup	s1-league1-game1_03_discourse_stac_1366347136	False	i	False	wood
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366337136	False	lol	False	lol	s1-league1-game1_03_discourse_stac_1366347136	False	i	False	wood
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366327136	False	yup	False	yup	s1-league1-game1_03_discourse_stac_1366357136	True	for	False	?
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366337136	False	lol	False	lol	s1-league1-game1_03_discourse_stac_1366357136	True	for	False	?
Q-Elab	False	s1-league1-game1_03_discourse_stac_1366347136	False	i	False	wood	s1-league1-game1_03_discourse_stac_1366357136	True	for	False	?
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366337136	False	lol	False	lol	s1-league1-game1_03_discourse_stac_1366367136	False	yes	False	yes
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366347136	False	i	False	wood	s1-league1-game1_03_discourse_stac_1366367136	False	yes	False	yes
Question-answer_pair	False	s1-league1-game1_03_discourse_stac_1366357136	True	for	False	?	s1-league1-game1_03_discourse_stac_1366367136	False	yes	False	yes
Alternation	True	s1-league1-game1_03_discourse_stac_1366427136	True	william	False	?	s1-league1-game1_03_discourse_stac_1366437136	False	or	False	up
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366427136	True	william	False	?	s1-league1-game1_03_discourse_stac_1366447136	False	wood	False	;-rrb-_NN
UNRELATED	False	s1-league1-game1_03_discourse_stac_1366437136	False	or	False	up	s1-league1-game1_03_discourse_stac_1366447136	False	wood	False	;-rrb-_NN
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366427136	True	william	False	?	s1-league1-game1_03_discourse_stac_1366457136	False	no	False	:-rrb-_NN
UNRELATED	True	s1-league1-game1_03_discourse_stac_1366437136	False	or	False	up	s1-league1-game1_03_discourse_stac_1366457136	False	no	False	:-rrb-_NN
Comment	False	s1-league1-game1_03_discourse_stac_1366447136	False	wood	False	;-rrb-_NN	s1-league1-game1_03_discourse_stac_1366457136	False	no	False	:-rrb-_NN
